21.07.23 Salida dinámica de lista                                              1


		Can.distr.	Pedidos	Lineas	Unidades	   Valor Neto

		01	    426	 3,900	  42,673	  838,362,800
		02	     46	   624	  19,689	  229,885,600
		07	    225	 3,642	  17,958	  191,513,200
		08	     64	 1,352	   5,196	  159,628,400
		12	      3	     6	     344	    2,604,800
		14	      0	     0	       0	            0
		15	     18	    67	      98	    1,590,900
		19	      2	     8	   3,502	   26,258,900
		51	      0	     0	       0	            0

	*		    784	 9,599	  89,460	1,449,844,600
