21.07.23 Salida dinámica de lista                                              1


		Can.distr.	Pedidos	Lineas	Unidades	   Valor Neto

		01	    169	   683	  35,247	  752,426,600
		02	     46	   624	  19,689	  229,885,600
		07	    224	 3,630	  17,921	  191,171,600
		08	     64	 1,351	   5,195	  159,521,400
		12	      3	     6	     344	    2,604,800
		14	      0	     0	       0	            0
		15	     19	    68	      99	    1,625,500
		19	      2	     8	   3,502	   26,258,900
		51	      0	     0	       0	            0

	*		    527	 6,370	  81,997	1,363,494,400
